City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
647,Altus,US,53.98,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
649,Lima,PE,70.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
650,Itoman,JP,68.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
651,Morristown,US,61.92,overcast clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
652,Astoria,US,54.86,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
653,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
657,Eureka,US,58.62,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
659,Ano Mera,GR,58.66,broken clouds,37.45,25.4,Hotel La Résidence Mykonos
662,Santa Cruz De Tenerife,ES,68.22,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
664,Gladstone,AU,73.33,light rain,-23.85,151.25,Highpoint International
670,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
671,Hays,US,60.53,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
674,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
675,Matay,EG,68.23,clear sky,28.419,30.7792,Nag Aespen
685,Healdsburg,US,68.54,few clouds,38.6105,-122.8692,Best Western Dry Creek Inn
686,Prescott,US,53.91,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
