City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Mar Del Plata,AR,-38.0023,-57.5575,68.02,84,0,5.01,clear sky
70,Honningsvag,NO,70.9821,25.9704,26.1,58,100,11.97,overcast clouds
71,Ankang,CN,32.68,109.0172,47.5,78,0,0.36,clear sky
72,Portland,US,45.5234,-122.6762,54.21,81,75,1.99,broken clouds
73,Mount Isa,AU,-20.7333,139.5,69.57,56,14,5.75,few clouds
74,Huron,US,41.1501,-82.5499,45.84,93,100,14.0,overcast clouds
75,Cidreira,BR,-30.1811,-50.2056,73.47,82,100,13.42,moderate rain
76,Saint George,US,37.1041,-113.5841,55.63,25,1,1.01,clear sky
77,Elbrus,RU,43.2577,42.6443,23.79,32,100,0.89,overcast clouds
78,Wamba,NG,8.9333,8.6,79.57,31,11,3.33,few clouds
79,Spring Hill,US,28.4769,-82.5255,78.67,53,90,3.44,overcast clouds
80,Hofn,IS,64.2539,-15.2082,31.75,65,0,21.83,clear sky
81,Ancud,CL,-41.8697,-73.8203,56.73,64,90,8.19,overcast clouds
82,Abu Zabad,SD,12.35,29.25,73.83,16,11,11.05,few clouds
83,Clyde River,CA,70.4692,-68.5914,0.77,98,100,3.42,overcast clouds
84,Narsaq,GL,60.9167,-46.05,35.82,99,100,6.6,light rain
85,Boyabat,TR,41.4689,34.7667,39.63,89,12,0.6,few clouds
86,Varhaug,NO,58.6147,5.6457,36.95,58,100,18.43,light rain
87,Vaini,TO,-21.2,-175.2,80.76,89,75,2.3,broken clouds
88,Nikolskoye,RU,59.7035,30.7861,43.88,91,100,14.05,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,32.16,54,0,12.57,clear sky
90,Vanimo,PG,-2.6741,141.3028,76.93,91,100,6.78,overcast clouds
91,Cherskiy,RU,68.75,161.3,-22.36,100,100,3.15,overcast clouds
92,Mount Gambier,AU,-37.8333,140.7667,49.91,66,90,17.27,overcast clouds
93,Leningradskiy,RU,69.3833,178.4167,-20.36,97,100,5.26,overcast clouds
94,Pringsewu,ID,-5.3582,104.9744,73.98,90,100,3.02,overcast clouds
95,Castro,BR,-24.7911,-50.0119,83.03,43,59,8.3,light rain
96,Sydney,AU,-33.8679,151.2073,63.1,94,90,1.99,moderate rain
97,Bluff,NZ,-46.6,168.3333,54.97,84,100,4.81,light rain
98,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,47,8.99,scattered clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,40,19.57,light snow
100,East London,ZA,-33.0153,27.9116,63.54,76,100,17.29,light rain
101,Barkot,IN,30.8167,78.2,48.81,41,0,4.52,clear sky
102,Longyearbyen,SJ,78.2186,15.6401,12.04,48,20,18.41,few clouds
103,Alta Floresta,BR,-9.8756,-56.0861,89.42,66,40,6.91,scattered clouds
104,Kruisfontein,ZA,-34.0033,24.7314,62.89,76,100,17.83,overcast clouds
105,Lebu,CL,-37.6167,-73.65,61.79,72,2,10.78,clear sky
106,Cayenne,GF,4.9333,-52.3333,84.24,82,40,12.66,scattered clouds
107,Peniche,PT,39.3558,-9.3811,51.62,78,75,17.43,broken clouds
108,Isiro,CD,2.7739,27.616,73.92,62,74,0.51,broken clouds
109,Gayeri,BF,12.6497,0.4931,85.84,15,5,9.55,clear sky
110,Ngunguru,NZ,-35.6167,174.5,62.17,76,65,1.88,broken clouds
111,Hailar,CN,49.2,119.7,1.9,91,95,6.15,overcast clouds
112,Axim,GH,4.8699,-2.2405,80.64,81,9,6.82,light rain
113,Ilulissat,GL,69.2167,-51.1,26.62,68,75,13.8,broken clouds
114,Rio Grande,BR,-32.035,-52.0986,78.91,90,100,7.36,moderate rain
115,Airai,TL,-8.9266,125.4092,61.86,94,93,1.28,overcast clouds
116,Butaritari,KI,3.0707,172.7902,82.4,72,100,16.84,overcast clouds
117,Sept-Iles,CA,50.2001,-66.3821,39.72,76,90,1.99,overcast clouds
118,Aflao,TG,6.116,1.1914,84.33,79,20,10.36,few clouds
119,Tabou,CI,4.423,-7.3528,80.69,82,16,7.45,few clouds
120,Victoria,HK,22.2855,114.1577,69.33,73,24,1.01,few clouds
121,Zhanaozen,KZ,43.3,52.8,29.08,36,0,6.31,clear sky
